monto_reclamado,cantidad_siniestros_previos,debt_ratio,bounced_checks,antiguedad_como_cliente_meses,zona_de_riesgo,imagenes_sospechosas,telefono_repetido_con_otro_cliente,proveedor_repetido,historial_fraude_confirmado,credit_score,fraude
171248.0,0,0.08719485805316905,1,58,0,0,0,0,0,548,0
125794.0,1,0.09767860998986727,0,93,0,0,0,0,0,584,0
86902.0,0,0.06295841096055306,2,78,0,0,0,0,0,478,0
152192.0,0,0.04218315181766453,0,24,1,0,0,0,0,560,0
120979.0,1,0.05635453698109142,0,48,0,0,0,0,0,563,0
224985.0,0,0.05642724887903778,0,16,0,1,0,0,0,548,0
517350.0,1,0.06512012393923278,1,46,0,0,0,0,0,605,0
263804.0,1,0.009508944385405596,0,41,0,0,0,0,0,827,0
299417.0,0,0.10595967228762329,0,19,0,0,0,0,0,604,0
150369.0,0,0.01246416904814723,1,98,0,0,0,0,0,695,0
444940.0,0,0.0,1,68,0,1,0,1,0,740,0
403032.0,3,0.10935630926331145,2,58,0,0,0,0,0,601,0
418370.0,0,0.14064735213821267,0,49,0,0,1,0,0,694,0
428765.0,1,0.04900922407899309,0,43,0,0,0,0,0,428,0
564768.0,2,0.10044970359697084,2,44,0,1,0,0,0,588,0
166754.0,3,0.12632812901515583,0,29,0,0,0,0,0,436,0
401237.0,0,0.09508943131297526,0,21,0,0,0,0,0,505,0
283935.0,0,0.03213039978535015,1,5,1,0,0,0,0,563,0
252626.0,0,0.17911003774761566,0,54,0,0,0,0,0,852,0
362045.0,0,0.0,0,74,0,0,0,0,0,550,0
234563.0,0,0.0980360300022987,1,17,0,0,1,0,0,772,0
314978.0,1,0.20648311824098317,0,46,0,0,0,0,0,546,0
324271.0,0,0.2172342884334319,2,94,0,0,0,0,0,573,1
319296.0,0,0.17052611891257974,4,151,1,0,0,0,0,511,0
244727.0,0,0.08793023503298976,1,22,0,0,0,0,0,689,0
64983.0,1,0.10764811667598158,0,28,0,0,0,0,0,520,0
112444.0,0,0.23663871118363733,1,37,1,0,0,0,0,608,0
517159.0,1,0.11501109747253886,0,66,0,0,1,1,0,450,0
224787.0,2,0.027117434994468222,1,81,0,0,0,0,0,555,0
298166.0,1,0.13697631968910393,0,55,0,0,0,0,0,682,0
262004.0,2,0.08686077407363778,1,41,0,0,0,0,0,542,0
506224.0,1,0.21888390646962083,0,29,0,0,0,1,0,376,0
112932.0,0,0.08123252803332104,0,71,1,0,1,0,0,640,0
250629.0,0,0.08913844976025144,0,71,1,0,0,0,0,561,0
1088938.0,0,0.18351413434599603,0,47,0,0,0,1,0,736,0
61912.0,0,0.22251570492564804,1,72,0,0,0,0,0,687,0
83559.0,0,0.13932142408902648,0,62,0,0,0,0,0,719,0
110828.0,1,0.043900532168334304,1,17,0,0,0,0,0,608,0
324271.0,0,0.2172342884334319,2,94,0,0,0,0,0,573,1
479500.0,3,0.03154842752586809,0,27,1,0,0,0,0,692,0
189028.0,0,0.05709347690387016,0,40,1,0,0,0,0,630,0
55470.0,0,0.06550999797381152,2,16,0,0,1,0,0,837,0
191729.0,0,0.0,0,66,1,0,0,0,0,679,0
62979.0,0,0.0002627325376801999,1,50,0,0,1,0,0,539,0
56310.0,0,0.0,0,19,0,0,0,0,0,520,0
476018.0,0,0.08538456700836425,0,65,0,0,0,0,0,568,0
200875.0,1,0.08464480781144322,1,22,0,0,0,0,0,513,0
371499.0,0,0.14535704557835483,2,18,0,0,0,0,0,684,0
247253.0,0,0.1253578626589176,0,62,0,0,0,1,0,660,0
82209.0,1,0.0,1,3,0,0,0,0,0,674,0
251205.0,0,0.052294172138740644,1,87,0,0,0,0,0,682,0
126193.0,2,0.14407819493812532,1,112,1,0,0,0,0,786,0
91875.0,3,0.1512479725472849,2,22,0,0,0,0,0,707,0
196959.0,0,0.11407624808365695,0,47,1,0,0,0,0,747,0
447793.0,1,0.04368514405256979,0,64,1,0,1,0,0,603,0
259796.0,0,0.1350310183335553,0,37,0,0,0,0,0,399,0
171925.0,0,0.10675574979147345,0,48,1,0,0,0,0,554,0
296820.0,1,0.1521425960727371,0,26,0,0,0,0,0,592,0
169631.0,1,0.09979600275477428,1,42,0,0,0,0,0,765,0
62123.0,1,0.12128556751976696,1,98,1,0,0,1,0,782,0
339775.0,1,0.0,0,32,0,0,0,0,0,505,0
208452.0,0,0.04633566409685048,0,24,0,0,0,0,0,496,0
547082.0,0,0.06948088802858132,0,11,0,0,0,1,0,662,0
76512.0,2,0.00019974219149113115,0,12,0,0,0,0,0,715,0
42414.0,1,0.01825546316289184,0,113,0,0,0,0,0,663,0
128581.0,0,0.03320053973253001,0,89,0,0,1,0,0,653,0
185283.0,1,0.16206229575681705,2,98,0,0,0,0,0,786,0
842882.0,1,0.18391579600982694,0,63,0,0,0,0,0,640,0
190147.0,2,0.012694281591876244,0,80,0,1,0,0,0,660,0
125920.0,0,0.010937974657594243,0,43,0,0,0,0,0,759,0
201818.0,1,0.04747952069171718,3,56,0,0,0,0,0,673,0
144351.0,1,0.0,1,51,0,0,0,0,0,622,0
609651.0,1,0.022053731454867033,1,60,0,0,0,0,0,804,0
444788.0,0,0.13866,0,117,0,0,0,0,0,480,0
219956.0,0,0.11184559574049786,0,36,0,0,0,0,0,772,0
105386.0,0,0.07339414862060448,1,41,0,0,0,0,0,619,0
192628.0,1,0.0336208081817629,1,44,0,0,0,0,0,675,0
197084.0,0,0.15071464220105552,0,29,0,0,0,0,0,642,0
80665.0,0,0.04047099024942452,1,52,0,0,0,0,0,701,0
175187.0,0,0.13155569225297611,0,86,1,0,0,0,0,765,0
99269.0,0,0.049020426337173705,0,18,0,0,0,0,0,627,0
300840.0,0,0.07763651505601281,1,59,0,0,0,0,0,773,0
44359.0,0,0.056798124291999263,1,101,0,0,0,0,0,598,0
308235.0,1,0.13186729339383033,0,54,0,0,0,0,0,781,0
359697.0,2,0.035579143227622644,0,27,0,0,0,0,0,703,0
274621.0,1,0.06045030262185454,0,93,0,0,0,0,0,836,0
36579.0,0,0.026053333333333335,1,47,0,0,0,0,0,591,0
420837.0,0,0.12466896104011596,0,41,0,0,0,0,0,584,0
41042.0,0,0.0,0,16,0,0,0,0,0,534,0
104519.0,0,0.11762748141875999,0,70,0,0,0,0,0,628,0
205530.0,2,0.0,1,42,0,0,0,0,0,850,0
648974.0,1,0.013339149030753063,1,42,0,0,0,0,0,688,0
260701.0,0,0.1228100331666814,1,103,0,0,0,1,0,401,0
179292.0,1,0.09959196677691608,0,108,0,0,0,1,0,585,0
301771.0,1,0.0692278552146993,0,19,0,0,0,0,0,369,0
350203.0,3,0.07529759433048197,2,35,0,0,0,0,0,423,0
72577.0,1,0.06403502969365556,0,30,0,0,0,0,0,589,0
111548.0,0,0.13941891288942548,0,59,0,0,0,0,0,770,0
44142.0,1,0.05652302874432115,0,36,0,0,0,0,0,617,0
110727.0,0,0.05440418481929189,1,19,0,0,0,0,0,448,0
175903.0,1,0.2507296128490209,0,41,0,0,0,0,0,568,0
184322.0,2,0.13076237005447966,0,68,0,0,0,0,0,561,0
707415.0,1,0.2666631428133018,0,61,0,0,0,0,0,600,0
90326.0,0,0.08449055031668923,0,52,0,1,0,0,0,797,0
136692.0,2,0.035920549674315586,1,33,0,0,0,0,0,691,0
346986.0,0,0.15899061497303202,1,37,1,0,0,0,0,583,0
65102.0,2,0.23116416322819178,0,48,0,0,0,0,0,592,0
49181.0,1,0.10487693550589675,1,4,0,0,0,0,0,497,0
150056.0,0,0.11242650777878617,0,107,0,0,0,0,0,599,0
1081241.0,2,0.2560485243075248,1,49,0,0,0,0,0,677,1
60048.0,0,0.18021178027796161,0,73,0,0,0,0,0,594,0
130716.0,0,0.19044866147898007,1,12,0,0,0,1,0,705,0
432175.0,0,0.06350320712834498,1,9,0,0,0,0,0,708,0
696158.0,0,0.11298038199720668,2,103,1,0,0,0,0,650,0
229379.0,0,0.0,0,51,0,0,0,0,0,706,0
1081241.0,2,0.2560485243075248,1,49,0,0,0,0,0,677,1
78814.0,1,0.07270465771063961,0,112,0,0,0,0,0,739,0
82908.0,1,0.029350168802297176,0,14,0,0,0,0,0,715,0
343496.0,1,0.11949087699275246,0,50,0,0,1,0,0,594,0
220008.0,0,0.10661384976525821,1,19,0,0,0,0,0,529,0
154302.0,1,0.011848360649631785,1,28,0,0,0,0,0,604,0
413365.0,1,0.003238243220821618,0,15,0,0,0,0,0,675,0
106037.0,0,0.09006557190910769,0,31,0,0,0,0,0,754,0
240099.0,1,0.2065787710245929,0,100,0,1,0,0,0,656,0
90762.0,0,0.16384732208741612,1,45,0,0,0,0,0,700,0
136866.0,1,0.14585995840224528,0,51,0,0,0,0,0,708,0
107373.0,1,0.0,0,41,0,0,1,0,0,555,0
56888.0,0,0.047313292279635016,1,25,0,0,0,0,0,371,0
201157.0,2,0.0,0,46,0,0,0,0,0,625,0
224037.0,0,0.07481976124868718,1,113,1,0,0,0,0,566,0
340779.0,0,0.017833955029614792,0,59,1,0,1,0,0,712,0
379225.0,1,0.0,1,29,1,0,0,0,0,745,0
145233.0,1,0.06475448285104991,1,73,0,0,0,0,0,917,0
320321.0,1,0.14208695365439467,0,116,0,1,0,0,0,637,0
129842.0,0,0.18190388582709993,1,38,0,0,0,1,0,754,0
552873.0,1,0.15245984978966562,2,28,1,0,0,0,0,676,0
34657.0,1,0.038557111036826186,2,90,0,0,1,0,0,654,0
288546.0,2,0.16693922703798883,2,25,0,0,0,0,0,624,0
213367.0,2,0.0,1,68,0,0,1,0,0,685,0
250305.0,0,0.15668022222906847,1,75,0,0,0,0,0,654,0
118226.0,0,0.15214385312572623,0,17,1,0,0,0,0,654,0
172850.0,2,0.226777162881818,0,30,0,0,0,0,0,521,0
562737.0,0,0.10866310764624466,0,44,0,0,0,0,0,836,0
46868.0,0,0.14500601532217458,0,52,0,0,0,0,0,828,0
115843.0,0,0.1897017809530658,1,22,0,0,0,0,0,606,0
444912.0,2,0.19300020368245438,0,98,0,0,0,0,0,598,0
58654.0,2,0.08001363132148022,1,82,1,0,0,0,0,556,0
153783.0,1,0.062187238917168375,2,95,0,0,0,0,0,626,0
35929.0,0,0.035856393561222645,0,49,1,0,0,0,0,716,0
178347.0,5,0.037432428426014686,2,59,0,0,0,1,0,848,0
228845.0,1,0.10220810456416406,0,45,0,0,0,0,0,763,0
155767.0,0,0.11687981524447191,0,137,0,0,0,0,0,691,0
486115.0,0,0.12870568087421946,0,82,0,0,0,0,0,611,0
220317.0,0,0.11401065352871821,0,152,0,0,0,0,0,900,0
460298.0,0,0.10655781515516777,0,83,0,0,0,0,0,601,0
299849.0,0,0.1652556788078547,0,18,0,0,0,0,0,661,0
55930.0,1,0.1249863861336216,0,44,1,0,0,0,0,718,0
80280.0,0,0.19686333333333333,2,35,0,0,0,0,0,618,0
246539.0,0,0.0,0,11,0,0,0,0,0,467,0
246616.0,0,0.0,2,116,1,0,0,0,0,980,0
490130.0,1,0.1767397451694071,0,35,1,0,0,0,0,822,0
317984.0,1,0.0305175916848467,1,16,0,0,0,0,0,607,0
128613.0,0,0.195513771081717,0,123,0,0,0,0,0,711,0
52611.0,1,0.08692988601719179,0,16,1,0,0,0,0,749,0
156492.0,0,0.07784785209653955,1,36,1,0,0,1,0,625,0
815592.0,1,0.10375053078556264,0,46,0,0,0,0,0,726,0
1081241.0,2,0.2560485243075248,1,49,0,0,0,0,0,677,1
70684.0,0,0.1336869515332419,0,70,1,1,0,0,0,640,0
439134.0,0,0.0,0,32,0,0,0,0,0,595,0
84553.0,1,0.028838356935549463,0,53,0,0,0,0,0,637,0
542332.0,1,0.0,1,20,0,0,0,0,0,607,0
276053.0,3,0.0,1,60,1,0,0,0,0,430,0
353359.0,2,0.1730723399975512,0,67,0,0,0,0,0,562,0
368805.0,2,0.04117312056797723,1,34,0,0,0,0,0,475,0
207168.0,1,0.11578014516799305,2,27,0,0,0,1,0,696,0
324271.0,0,0.2172342884334319,2,94,0,0,0,0,0,573,1
283154.0,1,0.12160802116975124,0,21,1,0,0,0,0,456,0
246413.0,1,0.01807656621888741,0,30,0,0,0,0,0,811,0
193384.0,0,0.11696671448091102,0,59,0,0,0,0,0,614,0
759912.0,1,0.1381,0,19,0,0,0,0,0,528,0
77228.0,2,0.18273544596759836,1,46,0,0,0,1,0,726,0
127059.0,1,0.05454419375148765,0,42,0,0,0,0,0,804,0
62503.0,1,0.026068345770042006,1,36,1,0,0,0,0,595,0
119069.0,0,0.1435181073375424,0,74,1,0,0,0,0,554,0
57230.0,0,0.018435356415021878,1,14,0,0,0,0,0,751,0
209146.0,0,0.0,1,27,0,0,0,0,0,688,0
288341.0,0,0.0684698524426137,0,80,0,0,0,0,0,659,0
177708.0,2,0.22587444365078863,0,6,1,0,1,0,0,591,0
123032.0,0,0.0878565647334295,2,111,1,0,0,0,0,774,0
326602.0,1,0.24956331086468073,0,34,0,0,0,0,0,550,0
134336.0,0,0.005890579547997315,0,35,0,0,0,0,0,722,0
492308.0,4,0.005943599523432565,0,50,0,0,0,0,0,646,0
511206.0,4,0.1454969070074029,0,43,0,0,0,0,0,696,0
215245.0,0,0.13926238604835514,0,65,1,0,0,0,0,663,0
74880.0,0,0.04136352256251588,1,67,0,0,0,1,0,555,0
211451.0,1,0.09895295997763764,0,19,0,0,0,0,0,933,0
446238.0,0,0.11797513615070622,1,58,0,0,0,0,0,838,0
324271.0,0,0.2172342884334319,2,94,0,0,0,0,0,573,1
35094.0,0,0.14374709475495068,0,18,0,0,1,0,0,784,0
164944.0,1,0.15560450735628584,1,119,1,0,0,0,0,633,0
170112.0,0,0.018953852772587508,0,83,0,0,0,0,0,755,0
48656.0,1,0.0019247520301216667,0,121,0,0,0,0,0,679,0
150298.0,0,0.0474576717865417,0,24,0,0,0,0,0,824,0
293727.0,0,0.12130514225144473,1,60,1,0,0,0,0,774,0
403119.0,1,0.0,0,80,0,0,0,1,0,642,0
102491.0,1,0.0542459519972963,1,70,0,0,0,0,0,544,0
121060.0,2,0.0,0,97,0,0,0,0,0,600,0
139013.0,0,0.14196328149582937,0,17,0,0,0,0,0,497,0
122384.0,1,0.13232499908504228,0,87,0,0,0,0,0,436,0
98500.0,1,0.11994615398362753,0,154,0,0,0,0,0,690,0
105331.0,1,0.09520828130975172,2,67,0,0,0,0,0,566,0
151189.0,0,0.09136602592399375,1,51,0,0,1,0,0,376,0
170054.0,0,0.0,1,19,0,0,1,0,0,547,0
162893.0,1,0.058333951670747695,0,117,0,0,0,0,0,780,0
191226.0,1,0.24575315318164329,0,15,0,0,1,0,0,831,0
1229751.0,0,0.24256529728110163,1,22,0,0,0,0,0,840,0
130954.0,2,0.057595550944105046,0,41,0,0,1,0,0,664,0
249719.0,0,0.03998321008823635,3,49,0,0,0,0,0,589,0
257930.0,1,0.05535094164264677,1,75,1,0,0,0,0,722,0
91753.0,0,0.15337532589374492,0,20,0,0,0,1,0,523,0
23982.0,0,0.1715630007826184,2,64,0,0,0,1,0,608,0
133344.0,0,0.04392010640054375,0,46,0,0,0,1,0,576,0
388124.0,0,0.08794692684603041,0,67,1,0,0,0,0,662,0
168556.0,1,0.06264232273661594,1,46,0,0,0,0,0,572,0
387814.0,1,0.05145453703221174,1,48,0,0,0,0,0,535,0
292928.0,1,0.15332131701059842,1,28,1,0,0,0,0,443,0
135500.0,0,0.14712161484185693,1,34,0,0,0,0,0,812,0
258670.0,0,0.1672033561125758,0,51,0,0,0,0,0,652,0
167202.0,1,0.17533670973202742,0,28,1,0,1,0,0,744,0
246879.0,2,0.08467353614387163,0,23,0,0,0,0,0,704,0
711185.0,1,0.05683731519319123,0,18,0,0,1,0,0,576,0
97831.0,2,0.1257122388860985,1,16,0,0,0,0,0,448,0
209394.0,0,0.16636203068013433,0,29,0,0,0,0,0,602,0
306601.0,1,0.15822937109306068,1,73,0,0,0,0,0,808,0
88383.0,0,0.1370053338361669,1,115,0,0,0,0,0,386,0
92303.0,0,0.0,0,48,1,0,0,0,0,688,0
118481.0,0,0.06554454951087448,0,46,0,0,0,0,0,695,0
520314.0,0,0.27254212132538386,1,75,0,0,0,0,0,515,0
761613.0,0,0.19281856148649568,0,132,1,0,0,1,0,736,0
215171.0,1,0.11408702537152403,2,54,0,0,0,0,0,647,0
131360.0,0,0.11637952990083718,0,41,0,0,0,0,0,577,0
187992.0,1,0.19878880353572556,0,23,0,0,0,0,0,583,0
43701.0,0,0.06993386429227914,0,31,0,0,0,0,0,574,0
172822.0,2,0.10516998017621552,0,44,0,0,0,0,0,728,0
267759.0,0,0.03381124824477127,1,24,0,0,0,0,0,614,0
127488.0,1,0.053995296768978275,1,80,1,0,0,0,0,741,0
275135.0,1,0.2318060637427182,0,14,0,0,0,0,0,439,0
39446.0,0,0.09510338828925,0,13,1,0,0,0,0,592,0
71405.0,2,0.10317447853274597,0,46,1,0,0,1,0,582,0
194642.0,0,0.07929719443403073,1,9,0,0,0,0,0,772,0
157442.0,1,0.01693033525743868,2,55,0,0,1,0,0,568,0
161296.0,0,0.04129452731042041,1,19,1,0,0,0,0,579,0
274194.0,0,0.03280410787708805,2,54,0,0,0,0,0,572,0
144526.0,0,0.1745951884197116,0,55,0,0,0,1,0,605,0
122200.0,2,0.0,0,58,1,0,0,0,0,841,0
50204.0,0,0.20007003301745663,2,83,0,0,0,0,0,471,0
183824.0,0,0.027038832005806996,0,19,0,1,0,0,0,700,0
52078.0,0,0.12127310139315493,1,68,0,0,0,1,0,466,0
767151.0,1,0.18340723195698855,0,63,1,0,0,0,0,581,0
142984.0,2,0.06251577776027498,1,25,0,0,0,0,0,503,0
106713.0,0,0.013674142919688577,1,83,0,1,0,0,0,771,0
300312.0,4,0.12931062546796784,2,28,0,0,0,0,0,640,0
146769.0,1,0.12439072713513642,3,24,0,0,1,0,0,658,0
129516.0,1,0.08415545337273864,0,49,0,0,0,1,0,583,0
122006.0,1,0.042918595486284565,1,48,0,0,0,0,0,425,0
26884.0,1,0.15188426636433605,0,96,0,0,0,0,0,662,0
120661.0,0,0.16745510072000647,2,44,0,0,0,0,0,670,0
292790.0,0,0.04381076445193978,1,21,0,0,0,0,0,731,0
197133.0,1,0.1315295308356963,1,72,0,0,0,0,0,576,0
1081241.0,2,0.2560485243075248,1,49,0,0,0,0,0,677,1
360052.0,1,0.09274067916246188,0,70,1,0,0,0,0,797,0
205545.0,1,0.0,1,31,0,0,0,0,0,656,0
106494.0,1,0.012356128955836772,2,27,1,0,0,0,0,698,0
520466.0,0,0.0,0,46,1,0,0,1,0,709,0
268654.0,1,0.1365282420039002,1,100,1,0,0,0,0,731,0
121193.0,0,0.22077949538717778,1,72,0,0,0,0,0,417,0
846355.0,1,0.0331053057717411,0,84,0,0,0,0,0,631,0
98724.0,1,0.15821162379906079,0,65,1,0,0,0,0,691,0
158131.0,1,0.1096219330103929,1,26,0,0,0,0,0,576,0
104893.0,0,0.1560698475708344,0,57,0,0,0,0,0,715,0
82570.0,0,0.15855613983113612,1,112,1,0,0,0,0,733,0
83189.0,0,0.002468751756472054,0,57,0,0,0,0,0,433,0
165962.0,0,0.03598751995875787,1,28,0,0,0,0,0,492,0
176910.0,0,0.08478824822368758,1,28,0,0,1,0,0,844,0
51004.0,1,0.09291826930503422,1,79,0,0,0,0,0,649,0
176479.0,0,0.0468590838008063,0,71,1,0,1,0,0,574,0
106980.0,0,0.15804001602430923,0,58,0,0,0,0,0,640,0
188889.0,0,0.0693979635431501,0,60,0,0,0,0,0,735,0
136058.0,0,0.07239990995854659,1,56,0,0,0,0,0,637,0
160639.0,1,0.12078154775914299,0,40,0,0,0,0,0,748,0
457191.0,0,0.049504407555255016,1,11,1,0,0,0,0,647,0
31306.0,1,0.11753415010651755,0,43,0,0,0,0,0,632,0
170485.0,2,0.15098152198624928,0,86,0,0,0,0,0,780,0
147975.0,0,0.0169369817410456,0,48,0,0,0,0,0,792,0
121116.0,0,0.07408908696856617,0,14,0,0,0,0,0,581,0
174071.0,1,0.07100100313227257,0,15,0,0,0,1,0,724,0
64152.0,0,0.18380123050937364,1,50,0,0,0,0,0,888,0
499783.0,0,0.1085273259911747,1,42,0,0,0,0,0,467,0
167088.0,1,0.07805783471743716,0,17,0,0,0,0,0,893,0
1205710.0,1,0.09005253623188406,0,97,0,1,0,0,0,495,0
109116.0,0,0.11994839809290121,0,39,0,0,0,0,0,902,0
371704.0,1,0.0,0,15,0,0,0,0,0,664,0
58534.0,0,0.22731506412722138,0,36,0,0,0,0,0,570,0
324271.0,0,0.2172342884334319,2,94,0,0,0,0,0,573,1
124274.0,0,0.0706016546261768,1,37,0,0,0,0,0,644,0
121255.0,0,0.1224850743693274,0,42,0,0,0,0,0,692,0
78311.0,0,0.0,0,41,0,0,0,0,0,735,0
66432.0,0,0.1835624572971932,1,42,0,0,0,0,0,514,0
44728.0,1,0.07860544033988623,0,56,1,0,0,0,0,700,0
78700.0,2,0.140724763049592,1,27,1,0,0,0,0,875,0
445953.0,1,0.07406968784971588,1,18,0,0,0,0,0,653,0
633601.0,2,0.0971304279476756,1,18,0,0,0,0,0,529,0
67300.0,2,0.11938071502639518,0,90,0,0,0,0,0,507,0
244773.0,2,0.0,0,21,0,0,0,0,0,727,0
413752.0,0,0.04386239796377966,4,91,1,0,0,0,0,578,0
